Symptom_CUI	Symptom_Name	Alias	Definition	External_Ids
C2127365	Redness of left upper eyelid	redness of left upper eyelid|redness of left upper eyelid (symptom)|redness of upper eyelid left		
C1608387	Injection site hydrarthrosis	Injection site hydrarthrosis|Injection site joint effusion		
C2116442	Tingling of inner aspect of right forearm	tingling of inner aspect of right forearm|tingling of inner aspect of right forearm (symptom)		
C2232042	Skin crust on posterior surface of right wrist	skin crust on posterior surface of right wrist|skin crust on posterior surface of right wrist (symptom)		
C0858944	Airway secretion excessive	Airway secretion excessive		
C0877672	Sensitive tongue	Sensitive tongue|sensitive tongue|tongue sensitive		
C0521506	Injection site parasthesia	Injection site paraesthesia|Injection site parasthesia|Injection site paresthesia|Injection site paresthesia (disorder)		SNOMEDCT_US_2016_09_01:95399003
C0151791	Nausea vomiting and diarrhea	NAUSEA VOMITING AND DIARRHEA|Nausea vomiting and diarrhea|Nausea vomiting and diarrhoea|Nausea, vomiting and diarrhea|Nausea, vomiting and diarrhea (disorder)|Nausea, vomiting and diarrhoea		SNOMEDCT_US_2016_09_01:2919008
C2128766	Soft tissue swelling of right fourth toe with discoloration	local soft tissue swelling right fourth toe w/ discoloration|soft tissue swelling of right fourth toe with discoloration|soft tissue swelling of right fourth toe with discoloration (symptom)		
C2017799	Soreness or pain of tip of tongue	soreness or pain of tip of tongue|soreness or pain of tip of tongue (symptom)		
C2017798	Soreness or pain of right side of tongue	soreness or pain of right side of tongue|soreness or pain of right side of tongue (symptom)		
C2073783	Child's weak cry	child's weak cry|child's weak cry (symptom)		
C0521591	Mouth paresthesia	MOUTH PARESTHESIA|Mouth paresthesia|Oral paraesthesia|Oral paresthesia|Oral paresthesia (disorder)|PARAESTHESIA MOUTH|PARESTHESIA MOUTH|Paraesthesia mouth|Paraesthesia of oral soft tissues|Paraesthesia oral|Paraesthesia oral NOS|Paresthesia mouth|Paresthesia of oral soft tissues|Paresthesia oral|Paresthesia oral NOS		SNOMEDCT_US_2016_09_01:95524000
C2127487	Left medial epicondyle pain	left medial epicondyle pain|pain in medial epicondyle of left humerus|pain in medial epicondyle of left humerus (symptom)		
C0231703	Swing-through gait	Swing-through gait|Swing-through gait (finding)		SNOMEDCT_US_2016_09_01:75742003
C0858565	Faint odor of sulfur	Faint odor of sulfur|Faint odour of sulfur		
C2016994	Soft tissue pain of finger of right hand	soft tissue pain of finger of right hand|soft tissue pain of finger of right hand (symptom)		
C0406403	Delayed dermographism	Delayed dermographism|Delayed dermographism (disorder)		SNOMEDCT_US_2016_09_01:238686009
C2129398	Snapping sensation in subscapular region of left shoulder	snapping sensation in subscapular region of left shoulder|snapping sensation in subscapular region of left shoulder (symptom)|subscapular snapping sensation in the left shoulder		
C0231611	Brachialgia	Brachialgia|Brachialgia (disorder)|brachialgia		SNOMEDCT_US_2016_09_01:15941001
C2128113	Pip joint of right fourth toe feels 'out of place'	PIP joint of right fourth toe feels 'out of place'|proximal interphalangeal joint of right fourth toe feels 'out of place'|proximal interphalangeal joint of right fourth toe feels 'out of place' (symptom)|right fourth toe PIP feels 'out of place'|the right fourth toe PIP feels 'out of place'		
C0234230	Burn pain	Burning Pain|Burning Pains|Burning pain|Burning pain (finding)|Hot pain|PAIN BURNING|Pain burning|Pain, Burning|Pain, burning|Pains, Burning|burn pain|burning pain|pain burning|pain burning (symptom)	NCI2016_02D:A sensation of intensley hot or searing discomfort.|	MSH2017_2016_08_12:D010146|SNOMEDCT_US_2016_09_01:139769004|SNOMEDCT_US_2016_09_01:36349006
C0751906	Hypotonic paraparesis	Hypotonic Paraparesis|Paraparesis, Hypotonic		MSH2017_2016_08_12:D020335
C2219818	Bony lump which does not go away and is painless	bony lump which does not go away and is painless|bony lump which does not go away and is painless (symptom)|painless bony lump which does not go away		
C2126968	Diplopia worsens when looking down	diplopia worsens when looking down|diplopia worsens when looking down (symptom)|double vision gets worse when looking down		
C2108975	Unrelenting joint pain in little finger of right hand	unrelenting joint pain in little finger of right hand|unrelenting joint pain in little finger of right hand (symptom)|unrelenting right little finger joint pain		
C0920505	Emotional shock	emotional shock|emotional shock; state|emotional; shock|shock emotional|shock; emotional|state of emotional shock|state of emotional shock (symptom)|state; emotional shock		
C2108983	Unrelenting joint pain in middle finger of right hand	unrelenting joint pain in middle finger of right hand|unrelenting joint pain in middle finger of right hand (symptom)|unrelenting right middle finger joint pain		
C2881444	Ocular pain, right eye	Ocular pain, right eye		ICD10CM_2017:H57.11
C0234544	Todd paralysis	Paralysis, Todd|Paralysis, Todd's|Postictal paralysis|Postseizure paralysis|Todd Paralysis|Todd paresis|Todd's Paralysis|Todd's paralysis|Todd's paresis|Todd's paresis (finding)|Todd; paralysis|Todds Paralysis|paralysis; Todd|todd paralysis|todd's paralysis|todd's paralysis (diagnosis)|todd's paresis|todds paralysis		MSH2017_2016_08_12:D010243|SNOMEDCT_US_2016_09_01:66264000
C2219733	Forgetting words	forgetting words|forgetting words (symptom)		
C2127743	A snapping sensation in the right index finger	a snapping sensation in the right index finger|snapping sensation of index finger of right hand|snapping sensation of index finger of right hand (symptom)		
C0750937	Appendicular ataxia	Appendicular Ataxia|Appendicular Ataxias|Appendicular ataxia|Ataxia, Appendicular|Ataxia, Limb|Ataxias, Appendicular|Ataxias, Limb|Limb Ataxia|Limb Ataxias|Limb ataxia	HPO2016_07_04:A kind of ataxia that affects movements of the extremities. [HPO:probinson]|	HPO2016_07_04:HP:0002070|MSH2017_2016_08_12:D001259|OMIM2016_04_17:MTHU000928|OMIM2016_04_17:MTHU036266
C2130277	Muscle cramps in right foot	muscle cramps in right foot|muscle cramps in right foot (symptom)		
C0750994	Cerebellar hemiataxia	Cerebellar Hemiataxia|Cerebellar Hemiataxias|Hemiataxia, Cerebellar|Hemiataxias, Cerebellar		MSH2017_2016_08_12:D002524
C2128756	Medial right third toe soft tissue swelling	medial right third toe soft tissue swelling|soft tissue swelling of right third toe along medial side|soft tissue swelling of right third toe along medial side (symptom)		
C0576657	Cryanaesthesia	Cold sensation absent|Cold sensation absent (finding)|Cryanaesthesia|Cryanesthesia|Loss of cold perception|absence; cold sense|cold sense; absent		SNOMEDCT_US_2016_09_01:102998005
C2116474	Tingling of inner aspect of right arm	tingling of inner aspect of right arm|tingling of inner aspect of right arm (symptom)		
C1963252	Tremor adverse event	Tremor|Tremor Adverse Event		SO:SYMP_0000162|CSSO:CSSO_000230
C2144729	Tooth pain induced by chewing	tooth pain induced by chewing|tooth pain induced by chewing (symptom)		
C0497320	Overactive child/hyperkinetic	Overactive child/hyperkinetic		
C2127242	Craving lettuce	craving lettuce|craving lettuce (symptom)		
C2034380	Baby has lost weight	baby has lost weight|parental concerns baby has lost weight|parental concerns baby has lost weight (symptom)		
C0372659	Induced abortion, by one or more vaginal suppositories (eg, prostaglandin) with or without cervical dilation (eg, laminaria), including hospital admission and visits, delivery of fetus and secundines	INDUCED ABORT 1/> VAG SUPPOSITORIES DLVR FETUS|Induced abortion, by 1 or more vaginal suppositories (eg, prostaglandin) with or without cervical dilation (eg, laminaria), including hospital admission and visits, delivery of fetus and secundines|Induced abortion, by one or more vaginal suppositories (eg, prostaglandin) with or without cervical dilation (eg, laminaria), including hospital admission and visits, delivery of fetus and secundines		SO:SYMP_0000197|CSSO:CSSO_000007
C2830459	Other and unspecified lack of expected normal physiological development in childhood	Other and unspecified lack of expected normal physiological development in childhood		ICD10CM_2017:R62.5
C0877664	Gastrointestinal cramps	Gastrointestinal cramps		
C0747110	Ovarian tenderness unilateral	OVARIAN TENDERNESS UNILATERAL		
C2020388	Harder or firmer consistency of stool	harder or firmer consistency of stool|harder or firmer consistency of stool (symptom)		
C2128773	Soft tissue swelling of right little toe with discoloration	local soft tissue swelling right little toe w/ discoloration|soft tissue swelling of right little toe with discoloration|soft tissue swelling of right little toe with discoloration (symptom)		
C2368355	Walking - neurological symptom	walking|walking (symptom)|walking - neurological symptom		
C2830339	Other polyuria	Other polyuria		ICD10CM_2017:R35.8
C2111870	Poor coordination of right hand	poor coordination of right hand|poor coordination of right hand (symptom)|poor right hand coordination		
C2032287	Pain in back of both thighs	pain in back of both thighs|pain in back of both thighs (symptom)|pain in posterior aspect of both thighs|pain in the posterior aspect of both thighs		
C0847550	Nose red	Redness;nose|nose red|nose redness|red nose|redness nose|redness of the nose		
C2116445	Tingling of right groin	tingling of right groin|tingling of right groin (symptom)		
C2129265	Lower back pain worsens when going from sitting to standing	lower back pain worsens when going from sitting to standing|lower back pain worsens when going from sitting to standing (symptom)		
C2184231	Left leg soft tissue swelling	left leg soft tissue swelling|soft tissue swelling of left lower leg|soft tissue swelling of left lower leg (symptom)		
C2078974	Involuntary movements during sleep which are violent	involuntary movements during sleep which are violent|involuntary movements during sleep which are violent (symptom)|involuntary violent movements during sleep		
C1400026	Hyperpnea; tetany	hyperpnea; tetany|tetany; hyperpnea		
C2128012	Sensation of something floating in right fourth toe	sensation of something floating in right fourth toe|sensation of something floating in right fourth toe (symptom)		
C0848760	Impairment;genital;m	Impairment;genital;M|male genital impairment		
C2202800	Walking with short steps	walking with short steps|walking with short steps (symptom)		
C2053484	Pain around the left eye	pain around the left eye|periorbital eye pain left|periorbital pain in the left eye|periorbital pain on left side|periorbital pain on left side (symptom)		
C2128934	Increase in size of mcp joint of ring finger of left hand	increase in size of MCP joint of ring finger of left hand|increase in size of metacarpophalangeal joint of ring finger of left hand|increase in size of metacarpophalangeal joint of ring finger of left hand (symptom)		
C1998978	Adults failure thrive	Adult Failure To Thrive|Adult failure to thrive|Adult failure to thrive syndrome|Adult failure to thrive syndrome (disorder)|adult failure to thrive|adult failure to thrive (diagnosis)|adults failure thrive		ICD10CM_2017:R62.7|ICD9CM_2014:783.7|SNOMEDCT_US_2016_09_01:129588001|SO:SYMP_0000503
C2109104	Joint swelling of both wrists	joint swelling of both wrists|joint swelling of both wrists (symptom)|swelling of both wrist joints		
C1328513	Subconjunctival redness	Subconjunctival redness		
C2109000	Localized joint pain occurs only in one joint	localized joint pain occurs only in one joint|localized joint pain occurs only in one joint (symptom)|monoarticular joint pain		
C2128160	Elbow joint pain exacerbated by bending the arm	elbow joint pain exacerbated by bending the arm|elbow pain exacerbated by bending arm|elbow pain exacerbated by bending arm (symptom)		
C2219952	Anxiety interferes with work	anxiety interferes with work|anxiety which interferes with work|anxiety which interferes with work (symptom)		
C2735340	Preterm labor symptoms	Preterm labor symptoms		
C0017160	Inflammation of the mucous membrane of the stomach and bowel	Already mapped above AAHA ID #: 858|GASTROENTERITIS|GE - Gastroenteritis|Gastroenteritides|Gastroenteritis|Gastroenteritis (disorder)|Gastroenteritis NOS|Gastroenteritis [Disease/Finding]|Gastroenteritis, NOS|Gastrointestinal tract inflamed|Inflammation of the mucous membrane of the stomach and bowel|gastroenteritides|gastroenteritis|gastroenteritis (diagnosis)|gastroenteritis nos	CHV2011_02:Inflammation of the mucous membrane of the stomach and intestines|CSP2006:inflammation of any segment of the gastrointestinal tract from esophagus to rectum; causes of gastroenteritis are many including genetic, infection, hypersensitivity, drug effects, and cancer.|MEDLINEPLUS_20151021:<p> Have you ever had the "stomach flu?" What you probably had was gastroenteritis - not a type of flu at all. Gastroenteritis is an inflammation of the lining of the intestines caused by a virus, bacteria or parasites. Viral gastroenteritis is the second most common illness in the U.S. The cause is often a <a href='https://www.nlm.nih.gov/medlineplus/norovirusinfections.html'>norovirus infection</a>. It spreads through contaminated food or water, and contact with an infected person. The best prevention is frequent hand washing. </p> <p>Symptoms of gastroenteritis include <a href='https://www.nlm.nih.gov/medlineplus/diarrhea.html'>diarrhea</a>, abdominal pain, vomiting, headache, fever and chills. Most people recover with no treatment.</p> <p>The most common problem with gastroenteritis is <a href='https://www.nlm.nih.gov/medlineplus/dehydration.html'>dehydration</a>. This happens if you do not drink enough fluids to replace what you lose through vomiting and diarrhea. Dehydration is most common in babies, young children, the elderly and people with weak immune systems. </p> <p >NIH: National Institute of Diabetes and Digestive and Kidney Diseases</p>|MSH2017_2016_08_12:INFLAMMATION of any segment of the GASTROINTESTINAL TRACT from ESOPHAGUS to RECTUM. Causes of gastroenteritis are many including genetic, infection, HYPERSENSITIVITY, drug effects, and CANCER.|NCI2016_02D:An inflammatory disorder that affects the upper and lower gastrointestinal tract. Most commonly, this is attributed to viruses; however bacteria, parasites or adverse reactions can also be the culprit. Symptoms include acute diarrhea and vomiting.|NCI2016_NCI-GLOSS_1602D:Inflammation of the lining of the stomach and the intestines. Symptoms may include nausea, vomiting, diarrhea, and abdominal cramps (dull or sharp pains). Gastroenteritis may be caused by infection with bacteria, parasites, or viruses. It may also be caused by food poisoning, allergic reactions, or reactions to certain medicines or foods.|NCI2016_NICHD_1602D:Inflammation of the stomach and small intestine.|	ICD10CM_2017:K52.9|MSH2017_2016_08_12:D005759|OMIM2016_04_17:MTHU035020|SNOMEDCT_US_2016_09_01:154278002|SNOMEDCT_US_2016_09_01:197010007|SNOMEDCT_US_2016_09_01:25374005|SNOMEDCT_US_2016_09_01:266179001|SO:SYMP_0019159
C0232771	Cholesterol crystal nucleation in bile	Cholesterol crystal nucleation in bile|Cholesterol crystal nucleation in bile (finding)		SNOMEDCT_US_2016_09_01:6528000
C0235078	Tremor perioral	Perioral Tremor|Perioral Tremors|TREMOR PERIORAL|Tremor perioral|Tremor, Perioral|Tremors, Perioral		MSH2017_2016_08_12:D014202
C0231748	Buckled	Buckling|Giving-way|Giving-way (finding)|buckled|buckling|give way|give ways|gives way|giving way		SNOMEDCT_US_2016_09_01:19352007
C0086769	Panic attack	Attack(s);panic|Attack, Panic|Attacks, Panic|PANIC ATTACK|PANIC ATTACKS|Panic Attack|Panic Attacks|Panic attack|Panic attack (finding)|Panic attacks|attack; panic|panic attack|panic attacks|panic; attack	NCI2016_02D:An episode of intense fear accompanied by symptoms such as heart palpitations, sweating and chills or hot flushes, a sensation of dyspnea, chest pain, abdominal distress, depersonalization, fear of going crazy, and fear of dying.|PSY2004:An episode of intense fear and anxiety that may be accompanied by one or more of the following symptoms: heart palpitations, sweating, shortness of breath, chest pain, nausea, dizziness, and trembling. Generally, attacks are unexpected and last no longer than 15 minutes.|	ICD10CM_2017:F41.0|MSH2017_2016_08_12:D016584|OMIM2016_04_17:MTHU016941|SNOMEDCT_US_2016_09_01:154882009|SNOMEDCT_US_2016_09_01:191705007|SNOMEDCT_US_2016_09_01:225624000|SNOMEDCT_US_2016_09_01:268752000
C0575020	Subtalar joint stiff	Subtalar joint stiff|Subtalar joint stiff (finding)		SNOMEDCT_US_2016_09_01:298242008
C0231367	Activity intolerance	Activity Intolerance|Activity intolerance|Activity intolerance (finding)|Activity intolerance (specify level)|activity intolerance|rndx activity intolerance|rndx activity intolerance (diagnosis)	CCC2_5:Incapacity to carry out physiological or psychological daily activities|NANDA-I_2015-2017:Insufficient physiological or psychological energy to endure or complete required or desired daily activities.|	SNOMEDCT_US_2016_09_01:77427003
C2939103	Perioral paraesthesia	Perioral paraesthesia|Perioral paresthesia		
C2128577	Lower back pain relieved by leaning forward	lower back pain relieved by leaning forward|lower back pain relieved by leaning forward (symptom)		
C0424805	Breath symptom	Breath symptom|Breath symptom (finding)|Breath symptom NOS|Breath symptom NOS (finding)|Breath symptom NOS (observable entity)|breath symptom|breathing symptoms		SNOMEDCT_US_2016_09_01:139212002|SNOMEDCT_US_2016_09_01:139215000|SNOMEDCT_US_2016_09_01:161956003|SNOMEDCT_US_2016_09_01:161958002
C0920255	Paresis median nerve	Paresis median nerve		
C0574995	Hip instability laxity	Hip joint laxity|Hip joint laxity (finding)|hip instability laxity|laxity of hip|laxity of hip (physical finding)		SNOMEDCT_US_2016_09_01:298215007
C4047545	Pain in joints of left hand	Joint pain in left hand|Joint pain in left hand (finding)|Pain in joints of left hand		ICD10CM_2017:M25.542|SNOMEDCT_US_2016_09_01:1076731000119106
C2037133	Sudden loss of vision in right half of visual field	sudden loss of vision in right half of visual field|sudden loss of vision in right half of visual field (symptom)|sudden loss right vision|sudden onset of visual field defect in right half of eye|visual field defect in right half of eye, sudden onset		
C3826452	Diarrhea in children	Diarrhea in children		
C2232033	Skin crust on proximal surface of left forearm	skin crust on proximal surface of left forearm|skin crust on proximal surface of left forearm (symptom)		
C2073777	Child's cry	child's cry|child's cry (symptom)		
C0577567	Mass of urogenital structure	Mass of urogenital structure|Mass of urogenital structure (finding)		SNOMEDCT_US_2016_09_01:300856000
C2231975	Skin crust on posterior surface of right side of neck	skin crust on posterior surface of right side of neck|skin crust on posterior surface of right side of neck (symptom)		
C2020307	Left ring finger dip joint stiffness	left ring finger DIP joint stiffness|stiffness of DIP joint of ring finger of left hand|stiffness of distal interphalangeal joint of ring finger of left hand|stiffness of distal interphalangeal joint of ring finger of left hand (symptom)		
C2232124	Skin crust on distal surface of ring finger of left hand	skin crust on distal surface of ring finger of left hand|skin crust on distal surface of ring finger of left hand (symptom)		
C0232597	Acute vomiting	Acute vomiting|Acute vomiting (disorder)|acute vomiting		SNOMEDCT_US_2016_09_01:23971007
C0232943	Metromenorrhagia	Intermenstrual heavy bleeding|Intermenstrual heavy bleeding (finding)|MENOMETRORRHAGIA|Menometrorrhagia|Menometrorrhagia (finding)|Menometrorrhagia (finding) [Ambiguous]|Metromenorrhagia|menometrorrhagia|menometrorrhagia (diagnosis)|metromenorrhagia	HPO2016_07_04:Prolonged/excessive menses and bleeding at irregular intervals. [pmid:22594864]|	HPO2016_07_04:HP:0400008|ICD10CM_2017:N92.1|SNOMEDCT_US_2016_09_01:314631008|SNOMEDCT_US_2016_09_01:351814001|SNOMEDCT_US_2016_09_01:57153001
C2126053	Rectal pain after anal sex	rectal pain after anal sex|rectal pain after anal sex (symptom)		
C0854525	Diarrhea postoperative	Diarrhea postoperative|Diarrhoea postoperative|Post surgical diarrhea|Post surgical diarrhoea|diarrhea postoperative|postoperative diarrhea		
C0549029	Pain or discomfort caused by stabilization devices	Pain or discomfort caused by stabilization devices		
C2202982	Wavy lines in vision	wavy lines in vision|wavy lines in vision (symptom)		
C2317014	Spasm of cervix uteri	Spasm of cervix uteri|Spasm of cervix uteri (finding)		SNOMEDCT_US_2016_09_01:431329002
C2010807	Generalized skin lesions including interior of nose	generalized skin lesions including interior of nose|generalized skin lesions including interior of nose (symptom)		
C2029738	Headache preceded by aura	headache preceded by aura|headache preceded by other symptoms (aura)|headache preceded by other symptoms (aura) (symptom)		
C0577979	Expectoration, frothy	EXPECTORATION, FROTHY|Expectoration of frothy sputum|Expectoration of serous sputum|Frothy phlegm|Frothy sputum|Frothy sputum (finding)|frothy sputum		SNOMEDCT_US_2016_09_01:68423001
C0478126	Oth unsp abn invol movement	Oth unsp abn invol movement|Other and unspecified abnormal involuntary movements|[X]Oth unsp abn invol movement|[X]Other and unspecified abnormal involuntary movements|[X]Other and unspecified abnormal involuntary movements (context-dependent category)|[X]Other and unspecified abnormal involuntary movements (finding)		SNOMEDCT_US_2016_09_01:207596005
C2242576	Oropharyngeal blistering	Oropharyngeal blistering		
C2220246	Excessive sweating 15-30 minutes after eating	excessive sweating 15-30 minutes after eating|excessive sweating 15-30 minutes after eating (symptom)		
C0849816	Abnormal;colour;tongue	Abnormal;colour;tongue|abnormal colouration of the tongue		
C2017132	Distal right arm soft tissue swelling	distal right arm soft tissue swelling|soft tissue swelling of distal right arm|soft tissue swelling of distal right arm (symptom)		
C2127414	Sense of smell suddenly unpleasant	sense of smell suddenly unpleasant|sense of smell suddenly unpleasant (symptom)|the sense of smell is suddenly unpleasant		
C2126038	Excessive gas worsened by dairy products	excessive gas worsened by dairy products|excessive gas worsened by dairy products (symptom)|flatulence worsened by dairy products		
C2080643	Central photopsia	central photopsia|periodic flashing lights centrally|photopsia in central field of vision|photopsia in central field of vision (symptom)		
C3864085	Arthralgia - sacroiliac joint left	arthralgia - sacroiliac joint left|arthralgia of left sacroiliac joint|arthralgia of left sacroiliac joint (diagnosis)		
C2073294	Chest pain localizing to chest wall center anteriorly	chest pain localizing to chest wall center anteriorly|chest pain localizing to chest wall in center anteriorly|chest pain localizing to chest wall in center anteriorly (symptom)|chest pain localizing to the chest wall in the center anteriorly		
C2178568	Linberg's sign of finger of right hand	Linberg's sign of finger of right hand|Linberg's sign of finger of right hand (physical finding)		
C0853204	No adverse effect	No adverse effect		
C0478124	Other unspecif skin change	Other and unspecified skin changes|Other skin changes|Other unspecif skin change|[X]Other and unspecified skin changes|[X]Other and unspecified skin changes (context-dependent category)|[X]Other and unspecified skin changes (finding)|[X]Other unspecif skin change		ICD10CM_2017:R23|ICD10CM_2017:R23.8|SNOMEDCT_US_2016_09_01:207594008
C2128121	Mtp joint of left great toe feels 'out of place'	MTP joint of left great toe feels 'out of place'|left great toe MTP feels 'out of place'|metatarsophalangeal joint of left great toe feels 'out of place'|metatarsophalangeal joint of left great toe feels 'out of place' (symptom)|the left first MTP feels 'out of place'		
C0239182	Diarrhea watery	DIARRHEA WATERY|DIARRHEA, WATERY|Diarrhea, watery|Watery diarrhea|Watery diarrhoea|diarrhea watery|watery diarrhea|watery diarrhea (symptom)		OMIM2016_04_17:MTHU027813|OMIM2016_04_17:MTHU053170|CSSO:CSSO_000243
C2219718	Menstrual periods have not started at age 16	menstrual periods have not started at age 16|menstrual periods have not started at age 16 (symptom)|over age 16 and menstrual periods have not started		
C2232051	Skin crust on anterior surface of both wrists	skin crust on anterior surface of both wrists|skin crust on anterior surface of both wrists (symptom)		
C2009903	Gagging on foreign body	gagging on foreign body|gagging on foreign body (symptom)		
C2367674	Gagging initiated by liquids	gagging initiated by liquids|gagging initiated by liquids (symptom)		
C4271989	Urine stream deviated	urine stream deviated|urine stream deviated (symptom)		
C2164343	Decrease in consciousness relieved by eating	decrease in consciousness relieved by eating|decrease in consciousness relieved by eating (symptom)|decreased consciousness relieved by eating		
C0043352	Absent salivary secretion	(Dry mouth) or (salivary hyposecretion)|(Dry mouth) or (salivary hyposecretion) (disorder)|APTYALISM|Absent salivary secretion|Aptyalia|Aptyalism|Aptyalism (disorder)|Asialia|Asialias|Clinical xerostomia|DRY MOUTH|DRYNESS ORAL|Decrease in salivation|Decreased salivary flow|Dry Mouth|Dry mouth|Dry mouth (finding)|Dry mouth syndrome|Dry;mouth|Dryness oral|Dryness, Mouth|Hypoactive salivary flow|Hyposalivation|Hyposalivations|Hyposecretion of salivary gland|Hyposecretion of salivary gland (disorder)|Inadequate salivary flow|MOUTH DRY|MOUTH DRYNESS|Mouth Dryness|Mouth became dry|Mouth dry|ORAL DRYNESS|Oral dryness|Reduced salivation|Reduced salivation (finding)|SALIVA DECREASED|Saliva decreased|Salivary hyposecretion|Salivary hyposecretion (disorder)|Salivary hyposecretion [Ambiguous]|Salivary secretion, absent|Salivary secretion, decreased|Salivation decreased|XEROSTOMIA|Xerostomia|Xerostomia [Disease/Finding]|Xerostomias|aptyalism|asialia|decreased saliva|dry mouth|drying mouth|dryness mouth|hyposalivation|hyposecretion; salivary gland|mouth dry|mouth dryness|mouth dryness (symptom)|mouth dryness (xerostomia)|mouth; dry|salivary gland; hyposecretion|salivary secretion disturbance: xerostomia|xerostomia|xerostomia (diagnosis)|xerostomia (physical finding)|xerostomia was observed	CSP2006:dryness of the mouth due to salivary gland secretion dysfunction.|HPO2016_07_04:Dryness of the mouth due to salivary gland dysfunction. [HPO:probinson]|MEDLINEPLUS_20151021:<p>Dry mouth is the feeling that there is not enough saliva in your mouth. Everyone has a dry mouth once in a while - if they are nervous, upset or under stress. But if you have a dry mouth all or most of the time, it can be uncomfortable and can lead to serious health problems.</p> <p>Symptoms of dry mouth include</p> <ul> <li>A sticky, dry feeling in the mouth</li> <li>Trouble chewing, swallowing, tasting, or speaking</li> <li>A burning feeling in the mouth</li> <li>A dry feeling in the throat</li> <li>Cracked lips</li> <li>A dry, rough tongue</li> <li>Mouth sores</li> <li>An infection in the mouth</li> </ul> <p>Dry mouth is not a normal part of aging. Causes include some medicines, <a href='https://www.nlm.nih.gov/medlineplus/radiationtherapy.html'>radiation therapy</a>, <a href='https://www.nlm.nih.gov/medlineplus/cancerchemotherapy.html'>chemotherapy</a>, and nerve damage. <a href='https://www.nlm.nih.gov/medlineplus/salivaryglanddisorders.html'>Salivary gland diseases</a>, <a href='https://www.nlm.nih.gov/medlineplus/sjogrenssyndrome.html'>Sjogren's syndrome</a>, HIV/AIDS, and diabetes can also cause dry mouth. Treatment depends on the cause. Things you can do include sipping water, avoiding drinks with caffeine, tobacco, and alcohol, and chewing sugarless gum or sucking on sugarless hard candy.</p> <p >NIH: National Institute of Dental and Craniofacial Research</p>|MSH2017_2016_08_12:Decreased salivary flow.|NCI2016_02D:Dryness of the oral mucosa secondary to a decrease in saliva production, or a change in saliva composition.|NCI2016_CTCAE_1602D:A disorder characterized by reduced salivary flow in the oral cavity.|NCI2016_NCI-GLOSS_1602D:Dry mouth. It occurs when the body is not able to make enough saliva.|NCI2016_NICHD_1602D:Dryness of the oral mucosa.|	HPO2016_07_04:HP:0000217|ICD10CM_2017:K11.7|MSH2017_2016_08_12:D014987|OMIM2016_04_17:MTHU036335|OMIM2016_04_17:MTHU036698|SNOMEDCT_US_2016_09_01:139281004|SNOMEDCT_US_2016_09_01:162014002|SNOMEDCT_US_2016_09_01:196513007|SNOMEDCT_US_2016_09_01:249425009|SNOMEDCT_US_2016_09_01:266425004|SNOMEDCT_US_2016_09_01:300268000|SNOMEDCT_US_2016_09_01:56893005|SNOMEDCT_US_2016_09_01:87715008|SO:SYMP_0000260
C2017378	Right middle finger soft tissue swelling over the middle phalanx	right middle finger soft tissue swelling over the middle phalanx|soft tissue swelling R middle finger over middle phalanx|soft tissue swelling of right middle finger over middle phalanx|soft tissue swelling of right middle finger over middle phalanx (symptom)		
C2017270	Left third toe soft tissue swelling over the distal phalanx	left third toe soft tissue swelling over the distal phalanx|soft tissue swelling of left third toe over distal phalanx|soft tissue swelling of left third toe over distal phalanx (symptom)		
C2108853	Joint pain in left middle toe	joint pain in left middle toe|joint pain in left middle toe (symptom)		
C3890602	Bodily pain	Bodily Pain|Body Pain	NCI2016_02D:The sensation of acute or chronic suffering in a body region.|	
C2016957	Soft tissue pain at base of left fourth toe	soft tissue pain at base of left fourth toe|soft tissue pain at base of left fourth toe (symptom)		
C0232455	Veraguth folds	Veraguth folds|Veraguth's folds|Veraguth's folds (finding)		SNOMEDCT_US_2016_09_01:81925000
C1401304	Ischiadicus; pain	ischiadicus; pain		
C1399272	Hematocolpos; hematosalpinx	hematocolpos; hematosalpinx|hematosalpinx; hematocolpos		
C1262022	Freezing phenomenon	Freezing phenomenon		
C2126212	Coughing up watery sputum	coughing up watery sputum|coughing up watery sputum (symptom)		
C1142236	Pain; spinal root	Spinal root pain|pain; spinal root		
C2203252	White growth on colored part of eye	white growth on colored part of eye|white growth on colored part of eye (symptom)		
C2129333	Unreasonable fear of environmental heights	unreasonable fear of environmental heights|unreasonable fear of environmental heights (symptom)		
C0742287	Chest pain char heavy	CHEST PAIN CHAR HEAVY		
C2366936	Convulsions triggered by stress	convulsions triggered by stress|convulsions triggered by stress (symptom)		
C0877489	Lips sensitive	Sensitive lips|lips sensitive|sensitive lips		
C3863080	Joint pain left fingers better after brief rest	joint pain left fingers better after brief rest|joint pain left fingers better after brief rest (symptom)		
C2116458	Tingling of tongue on right side	tingling of tongue on right side|tingling of tongue on right side (symptom)		
C0231810	Dyspnea, raising arms	Dyspnea raising arms|Dyspnea raising arms (finding)|Dyspnea raizing arms|Dyspnea, raising arms|Dyspnoea raising arms|Dyspnoea raizing arms		SNOMEDCT_US_2016_09_01:24921003
C2017129	Distal left arm soft tissue swelling	distal left arm soft tissue swelling|soft tissue swelling of distal left arm|soft tissue swelling of distal left arm (symptom)		
